serviceId,name,sourceCodeLocations,subscriptions,icmTenant,icmTeams
A56C6700-6666-4444-AAAA-000F3B9CC999,Azure App Service (Payments),https://github.com/contoso/payments|https://dev.azure.com/contoso/payments-pipelines,subs-prod-001;subs-dev-001,payments-app,payments-ops
B77D8800-7777-5555-BBBB-001F4C9DD888,Azure API Management (Retail),https://github.com/contoso/beta-retail,subs-prod-002,api-mgmt,retailops
C88E9900-8888-6666-CCCC-002F5D9EE777,Azure Databricks (Insights),https://github.com/contoso/gamma-data|https://atlas.contoso.com/gamma-pipelines,subs-prod-003;subs-dev-002,databricks,data-analytics
D99FA000-9999-7777-DDDD-003F6E9FF666,Azure Kubernetes Service (Core),https://github.com/contoso/delta-core,subs-prod-001,aks-core,platform-sre
F12A1100-1111-8888-EEEE-004F7FA0AA55,Azure Event Hubs (Messaging),https://github.com/contoso/omega-msg,subs-prod-002;subs-prod-005,event-hubs,messaging-ops
0ABC2200-2222-9999-FFFF-005F8FA1BB44,Azure AD Domain Services (Identity),https://github.com/contoso/lambda-id,subs-prod-004,aad-domain,identity
1BCD3300-3333-AAAB-EEEE-006F9FB2CC33,Azure SQL Managed Instance (Health),https://github.com/contoso/phi-health,subs-prod-003;subs-prod-004,sql-health,healthcare-platform
2CDE4400-4444-BBBB-FFFF-007FABF3DD22,Azure Event Grid (Advertising),https://github.com/contoso/kappa-ads,subs-prod-005,event-grid,ads-eng
3DEF5500-5555-CCCC-AAAA-008FBCF4EE11,Azure Cosmos DB (Commerce),https://github.com/contoso/zeta-commerce,subs-prod-002,cosmos-commerce,commerce
4EFA6600-6666-DDDD-BBBB-009FCD045F00,Azure Storage Account (Observability Logs),https://github.com/contoso/theta-logs,subs-prod-004,obs-storage,obs-analytics
5F0A7700-7777-EEEE-CCCC-00AFDE156FEE,Azure Static Web Apps (Collaboration),https://github.com/contoso/sigma-collab,subs-dev-001,static-collab,collab-sre
6A1B8800-8888-FFFF-DDDD-00BFED267FDD,Azure Functions (Observability Metrics),https://github.com/contoso/tau-observ,subs-prod-005;subs-dev-002,functions-obs,obs-platform
